YEAR,ACPR_CODE_2018,ACPR_NAME_2018,CARE_TYPE,INDIGENOUS_STATUS,count
2024,301,Brisbane North,Respite residential care,Unknown,243
2024,301,Brisbane North,Short-term restorative care,Indigenous,1
2024,301,Brisbane North,Short-term restorative care,Non-Indigenous,78
2024,301,Brisbane North,Short-term restorative care,Unknown,29
2024,301,Brisbane North,Transition care,Indigenous,6
2024,301,Brisbane North,Transition care,Non-Indigenous,342
2024,301,Brisbane North,Transition care,Unknown,99
2024,302,Brisbane South,Home care,Indigenous,135
2024,302,Brisbane South,Home care,Non-Indigenous,4141
2024,302,Brisbane South,Home care,Unknown,561
2024,302,Brisbane South,Permanent residential care,Indigenous,20
2024,302,Brisbane South,Permanent residential care,Non-Indigenous,1994
2024,302,Brisbane South,Permanent residential care,Unknown,430
2024,302,Brisbane South,Respite residential care,Indigenous,16
2024,302,Brisbane South,Respite residential care,Non-Indigenous,2404
2024,302,Brisbane South,Respite residential care,Unknown,431
2024,302,Brisbane South,Transition care,Indigenous,2
2024,302,Brisbane South,Transition care,Non-Indigenous,280
2024,302,Brisbane South,Transition care,Unknown,119
2024,303,Cabool,Home care,Indigenous,119
2024,303,Cabool,Home care,Non-Indigenous,1709
2024,303,Cabool,Home care,Unknown,172
2024,303,Cabool,Permanent residential care,Indigenous,15
2024,303,Cabool,Permanent residential care,Non-Indigenous,1308
2024,303,Cabool,Permanent residential care,Unknown,253
2024,303,Cabool,Respite residential care,Indigenous,8
2024,303,Cabool,Respite residential care,Non-Indigenous,1160
2024,303,Cabool,Respite residential care,Unknown,188
2024,303,Cabool,Short-term restorative care,Indigenous,7
2024,303,Cabool,Short-term restorative care,Non-Indigenous,208
2024,303,Cabool,Short-term restorative care,Unknown,74
2024,304,Central West,Home care,Non-Indigenous,15
2024,304,Central West,Home care,Unknown,1
2024,304,Central West,Permanent residential care,Indigenous,1
2024,304,Central West,Permanent residential care,Non-Indigenous,29
2024,304,Central West,Permanent residential care,Unknown,4
2024,304,Central West,Respite residential care,Non-Indigenous,41
2024,304,Central West,Respite residential care,Unknown,4
2024,304,Central West,Short-term restorative care,Non-Indigenous,16
2024,304,Central West,Short-term restorative care,Unknown,10
2024,305,Darling Downs,Home care,Indigenous,55
2024,305,Darling Downs,Home care,Non-Indigenous,1002
2024,305,Darling Downs,Home care,Unknown,177
2024,305,Darling Downs,Permanent residential care,Indigenous,10
2024,305,Darling Downs,Permanent residential care,Non-Indigenous,844
2024,305,Darling Downs,Permanent residential care,Unknown,158
2024,305,Darling Downs,Respite residential care,Indigenous,7
2024,305,Darling Downs,Respite residential care,Non-Indigenous,877
2024,305,Darling Downs,Respite residential care,Unknown,143
2024,305,Darling Downs,Short-term restorative care,Indigenous,1
2024,305,Darling Downs,Short-term restorative care,Non-Indigenous,50
2024,305,Darling Downs,Short-term restorative care,Unknown,36
2024,305,Darling Downs,Transition care,Indigenous,2
2024,305,Darling Downs,Transition care,Non-Indigenous,139
2024,305,Darling Downs,Transition care,Unknown,58
2024,306,Far North,Home care,Indigenous,72
2024,306,Far North,Home care,Non-Indigenous,1017
2024,306,Far North,Home care,Unknown,129
2024,306,Far North,Permanent residential care,Indigenous,84
2024,306,Far North,Permanent residential care,Non-Indigenous,584
2024,306,Far North,Permanent residential care,Unknown,100
2024,306,Far North,Respite residential care,Indigenous,98
2024,306,Far North,Respite residential care,Non-Indigenous,904
2024,306,Far North,Respite residential care,Unknown,127
2024,306,Far North,Short-term restorative care,Indigenous,18
2024,306,Far North,Short-term restorative care,Non-Indigenous,236
